CLARK Y AIRFOIL                                 
 Alfa =  11.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.29749 -0.02640  0.41756
   0.30969 -0.02594  0.41008
   0.32197 -0.02548  0.40259
   0.33430 -0.02503  0.39510
   0.34668 -0.02457  0.38744
   0.35910 -0.02412  0.37998
   0.37156 -0.02367  0.37263
   0.38403 -0.02321  0.36538
   0.39653 -0.02276  0.35830
   0.40904 -0.02230  0.35144
   0.42156 -0.02185  0.34475
   0.43410 -0.02139  0.33835
   0.44664 -0.02093  0.33190
   0.45919 -0.02047  0.32582
   0.47174 -0.02000  0.31982
   0.48430 -0.01954  0.31383
   0.49686 -0.01908  0.30809
   0.50942 -0.01862  0.30223
   0.52199 -0.01815  0.29662
   0.53455 -0.01769  0.29104
   0.54712 -0.01723  0.28545
   0.55969 -0.01677  0.27993
   0.57226 -0.01631  0.27453
   0.58483 -0.01585  0.26912
   0.59741 -0.01538  0.26380
   0.60998 -0.01492  0.25850
   0.62255 -0.01446  0.25328
   0.63512 -0.01400  0.24815
   0.64769 -0.01354  0.24279
   0.66026 -0.01308  0.23774
   0.67283 -0.01261  0.23237
   0.68540 -0.01215  0.22736
   0.69797 -0.01169  0.22207
   0.71054 -0.01123  0.21694
   0.72311 -0.01077  0.21175
   0.73567 -0.01031  0.20653
   0.74823 -0.00985  0.20116
   0.76079 -0.00938  0.19592
   0.77334 -0.00892  0.19024
   0.78589 -0.00846  0.18491
   0.79843 -0.00800  0.17936
   0.81096 -0.00754  0.17369
   0.82348 -0.00708  0.16776
   0.83598 -0.00662  0.16187
   0.84846 -0.00616  0.15560
   0.86092 -0.00571  0.14940
   0.87335 -0.00525  0.14243
   0.88573 -0.00480  0.13563
   0.89807 -0.00434  0.12845
   0.91034 -0.00389  0.12055
   0.92253 -0.00344  0.11214
   0.93463 -0.00300  0.10328
   0.94660 -0.00256  0.09320
   0.95843 -0.00213  0.08151
   0.97008 -0.00170  0.06914
   0.98152 -0.00128  0.05289
   0.99270 -0.00087  0.03362
   1.00000 -0.00060  0.00286
