CLARK Y AIRFOIL                                 
 Alfa =  10.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00060  0.05477
   0.99252  0.00237  0.05315
   0.98109  0.00508  0.05107
   0.96943  0.00782  0.04904
   0.95759  0.01058  0.04512
   0.94559  0.01335  0.03850
   0.93347  0.01610  0.03016
   0.92124  0.01884  0.02004
   0.90893  0.02156  0.00810
   0.89655  0.02425 -0.00562
   0.88411  0.02692 -0.02110
   0.87163  0.02955 -0.03833
   0.85912  0.03216 -0.05707
   0.84658  0.03472 -0.07731
   0.83402  0.03725 -0.09880
   0.82144  0.03974 -0.12145
   0.80885  0.04219 -0.14508
   0.79624  0.04460 -0.16953
   0.78363  0.04696 -0.19458
   0.77101  0.04927 -0.22020
   0.75838  0.05155 -0.24616
   0.74574  0.05377 -0.27256
   0.73311  0.05595 -0.29912
   0.72047  0.05808 -0.32586
   0.70783  0.06017 -0.35286
   0.69519  0.06220 -0.38024
   0.68256  0.06419 -0.40780
   0.66993  0.06612 -0.43540
   0.65731  0.06800 -0.46337
   0.64470  0.06982 -0.49132
   0.63210  0.07158 -0.51939
   0.61950  0.07327 -0.54725
   0.60691  0.07490 -0.57516
   0.59433  0.07646 -0.60278
   0.58176  0.07794 -0.62986
   0.56918  0.07936 -0.65688
   0.55661  0.08070 -0.68370
   0.54405  0.08198 -0.71018
   0.53148  0.08318 -0.73706
   0.51893  0.08431 -0.76367
   0.50637  0.08537 -0.79064
   0.49383  0.08635 -0.81820
   0.48130  0.08727 -0.84611
   0.46878  0.08810 -0.87444
   0.45628  0.08886 -0.90288
   0.44380  0.08953 -0.93128
   0.43133  0.09011 -0.95958
   0.41888  0.09061 -0.98774
   0.40645  0.09100 -1.01499
   0.39404  0.09130 -1.04110
   0.38163  0.09150 -1.06574
   0.36924  0.09161 -1.08954
   0.35687  0.09162 -1.11355
   0.34451  0.09155 -1.13795
   0.33219  0.09141 -1.16370
   0.31991  0.09118 -1.19167
   0.30769  0.09089 -1.22277
   0.29556  0.09055 -1.25949
   0.28354  0.09014 -1.30318
   0.27165  0.08965 -1.35029
   0.25993  0.08908 -1.40026
   0.24840  0.08840 -1.45102
   0.23706  0.08761 -1.50177
