CLARK-Y 11.7% smoothed                          
 Alfa =   4.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.19800
   0.99604  0.00107  0.17820
   0.98939  0.00282  0.15815
   0.98190  0.00475  0.13661
   0.97365  0.00683  0.11388
   0.96478  0.00903  0.09023
   0.95542  0.01129  0.06625
   0.94570  0.01360  0.04251
   0.93572  0.01593  0.01927
   0.92557  0.01827 -0.00356
   0.91532  0.02060 -0.02566
   0.90499  0.02291 -0.04715
   0.89462  0.02520 -0.06811
   0.88422  0.02747 -0.08810
   0.87380  0.02972 -0.10793
   0.86336  0.03194 -0.12697
   0.85292  0.03413 -0.14570
   0.84246  0.03630 -0.16403
   0.83200  0.03844 -0.18185
   0.82155  0.04055 -0.19930
   0.81109  0.04262 -0.21652
   0.80063  0.04467 -0.23343
   0.79017  0.04668 -0.24969
   0.77972  0.04867 -0.26587
   0.76926  0.05062 -0.28172
   0.75880  0.05253 -0.29710
   0.74834  0.05442 -0.31247
   0.73788  0.05627 -0.32729
   0.72742  0.05808 -0.34213
   0.71697  0.05985 -0.35598
   0.70652  0.06159 -0.37009
   0.69608  0.06329 -0.38349
   0.68564  0.06495 -0.39652
   0.67520  0.06657 -0.40934
   0.66476  0.06815 -0.42210
   0.65433  0.06969 -0.43502
   0.64389  0.07118 -0.44905
   0.63345  0.07264 -0.46545
   0.62302  0.07405 -0.48631
   0.61258  0.07542 -0.51331
   0.60215  0.07674 -0.54968
   0.59172  0.07802 -0.59589
   0.58130  0.07925 -0.64966
   0.57088  0.08043 -0.70775
   0.56046  0.08157 -0.71896
   0.55004  0.08266 -0.72546
   0.53963  0.08369 -0.73205
   0.52922  0.08468 -0.73874
   0.51881  0.08562 -0.74557
   0.50841  0.08651 -0.75260
   0.49800  0.08735 -0.75985
   0.48761  0.08813 -0.76737
   0.47721  0.08886 -0.77518
   0.46683  0.08954 -0.78329
   0.45645  0.09016 -0.79173
   0.44607  0.09073 -0.80053
   0.43570  0.09124 -0.80971
   0.42533  0.09169 -0.81931
   0.41497  0.09209 -0.82933
   0.40460  0.09242 -0.83980
   0.39425  0.09270 -0.85071
   0.38390  0.09292 -0.86211
   0.37356  0.09308 -0.87395
   0.36322  0.09319 -0.88628
   0.35291  0.09322 -0.89918
   0.34261  0.09320 -0.91242
   0.33232  0.09311 -0.92623
   0.32205  0.09296 -0.94055
   0.31179  0.09274 -0.95535
   0.30154  0.09245 -0.97086
   0.29131  0.09210 -0.98691
   0.28110  0.09168 -1.00398
   0.27092  0.09119 -1.02192
   0.26079  0.09064 -1.04051
   0.25074  0.09001 -1.06027
   0.24075  0.08930 -1.08071
   0.23086  0.08851 -1.10197
   0.22105  0.08763 -1.12354
   0.21135  0.08666 -1.14551
   0.20176  0.08558 -1.16686
   0.19228  0.08440 -1.18647
   0.18292  0.08310 -1.20610
   0.17367  0.08168 -1.22143
   0.16452  0.08013 -1.23261
   0.15545  0.07843 -1.24246
   0.14645  0.07660 -1.24500
   0.13753  0.07463 -1.24666
   0.12869  0.07251 -1.24355
   0.11992  0.07025 -1.23702
   0.11123  0.06785 -1.22708
   0.10263  0.06531 -1.21820
   0.09416  0.06267 -1.21144
   0.08587  0.05993 -1.20714
   0.07785  0.05715 -1.20956
   0.07020  0.05435 -1.21856
   0.06299  0.05156 -1.23190
   0.05627  0.04881 -1.24382
   0.05010  0.04612 -1.26155
   0.04447  0.04350 -1.27718
   0.03939  0.04096 -1.28558
   0.03482  0.03851 -1.29435
   0.03071  0.03614 -1.29209
   0.02704  0.03386 -1.27591
   0.02376  0.03165 -1.25451
   0.02082  0.02952 -1.21989
   0.01819  0.02747 -1.18022
   0.01583  0.02549 -1.14127
   0.01372  0.02359 -1.08210
   0.01182  0.02175 -1.03031
   0.01011  0.01998 -0.97510
   0.00859  0.01828 -0.90501
   0.00723  0.01664 -0.83815
   0.00602  0.01506 -0.76190
   0.00493  0.01353 -0.70076
   0.00396  0.01204 -0.62250
   0.00310  0.01059 -0.54141
   0.00235  0.00917 -0.45872
   0.00171  0.00778 -0.35318
   0.00117  0.00644 -0.26224
   0.00073  0.00514 -0.14858
   0.00040  0.00388 -0.04332
   0.00017  0.00267  0.10211
   0.00003  0.00149  0.24096
   0.00000  0.00033  0.36165
   0.00008 -0.00084  0.51585
   0.00026 -0.00201  0.64621
   0.00057 -0.00320  0.78556
   0.00101 -0.00438  0.88021
   0.00160 -0.00556  0.94919
   0.00234 -0.00672  0.98997
   0.00322 -0.00785  0.99955
   0.00424 -0.00894  0.98564
   0.00539 -0.01000  0.95524
   0.00667 -0.01102  0.91793
   0.00808 -0.01201  0.87034
   0.00964 -0.01298  0.82215
   0.01135 -0.01393  0.76908
   0.01321 -0.01486  0.72270
   0.01526 -0.01578  0.67540
   0.01750 -0.01669  0.62696
   0.01995 -0.01758  0.58488
   0.02264 -0.01847  0.53855
   0.02562 -0.01934  0.49934
   0.02891 -0.02020  0.45757
   0.03256 -0.02105  0.42838
   0.03664 -0.02188  0.39397
   0.04119 -0.02268  0.36465
   0.04628 -0.02345  0.34111
   0.05197 -0.02419  0.31805
   0.05830 -0.02489  0.29786
   0.06530 -0.02553  0.28229
   0.07295 -0.02611  0.26632
   0.08123 -0.02663  0.25466
   0.09007 -0.02709  0.24292
   0.09932 -0.02749  0.23174
   0.10888 -0.02781  0.21968
   0.11868 -0.02805  0.21194
   0.12868 -0.02823  0.20393
   0.13881 -0.02835  0.19719
   0.14905 -0.02840  0.19075
   0.15937 -0.02839  0.18616
   0.16974 -0.02833  0.18154
   0.18018 -0.02821  0.17950
   0.19070 -0.02804  0.17750
   0.20129 -0.02784  0.17592
   0.21192 -0.02760  0.17483
   0.22260 -0.02733  0.17392
   0.23331 -0.02703  0.17411
   0.24407 -0.02671  0.17317
   0.25488 -0.02638  0.17371
   0.26574 -0.02602  0.17306
   0.27662 -0.02566  0.17344
   0.28752 -0.02530  0.17319
   0.29843 -0.02493  0.17266
   0.30934 -0.02456  0.17214
   0.32025 -0.02418  0.17150
   0.33117 -0.02379  0.17132
   0.34211 -0.02341  0.17087
   0.35305 -0.02303  0.16968
   0.36399 -0.02265  0.16893
   0.37494 -0.02227  0.16853
   0.38589 -0.02189  0.16699
   0.39684 -0.02150  0.16607
   0.40779 -0.02112  0.16532
   0.41874 -0.02074  0.16461
   0.42970 -0.02036  0.16365
   0.44065 -0.01997  0.16281
   0.45160 -0.01959  0.16197
   0.46255 -0.01921  0.16086
   0.47351 -0.01884  0.16011
   0.48447 -0.01846  0.15904
   0.49542 -0.01808  0.15813
   0.50638 -0.01770  0.15748
   0.51734 -0.01732  0.15666
   0.52830 -0.01694  0.15590
   0.53926 -0.01656  0.15524
   0.55021 -0.01618  0.15449
   0.56117 -0.01580  0.15378
   0.57213 -0.01542  0.15325
   0.58309 -0.01505  0.15253
   0.59404 -0.01467  0.15188
   0.60500 -0.01429  0.15142
   0.61596 -0.01391  0.15074
   0.62692 -0.01354  0.15041
   0.63788 -0.01316  0.14982
   0.64884 -0.01278  0.14947
   0.65980 -0.01240  0.14914
   0.67076 -0.01202  0.14885
   0.68172 -0.01164  0.14858
   0.69268 -0.01126  0.14846
   0.70365 -0.01088  0.14835
   0.71461 -0.01050  0.14821
   0.72557 -0.01013  0.14829
   0.73654 -0.00975  0.14827
   0.74750 -0.00937  0.14851
   0.75846 -0.00899  0.14864
   0.76942 -0.00861  0.14898
   0.78037 -0.00823  0.14939
   0.79132 -0.00786  0.14981
   0.80226 -0.00748  0.15025
   0.81320 -0.00711  0.15083
   0.82415 -0.00674  0.15140
   0.83510 -0.00637  0.15229
   0.84604 -0.00600  0.15309
   0.85699 -0.00563  0.15418
   0.86793 -0.00527  0.15551
   0.87887 -0.00490  0.15691
   0.88978 -0.00452  0.15882
   0.90067 -0.00415  0.16079
   0.91150 -0.00378  0.16332
   0.92225 -0.00341  0.16619
   0.93288 -0.00302  0.16961
   0.94334 -0.00264  0.17362
   0.95354 -0.00224  0.17797
   0.96336 -0.00184  0.18276
   0.97264 -0.00143  0.18741
   0.98122 -0.00103  0.19160
   0.98900 -0.00062  0.19488
   0.99590 -0.00024  0.19709
   1.00000  0.00000  0.19800
