CLARK Y AIRFOIL                                 
 Alfa =  13.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00060 -0.09465
   0.99252  0.00237 -0.09695
   0.98109  0.00508 -0.10045
   0.96943  0.00782 -0.10404
   0.95759  0.01058 -0.10771
   0.94559  0.01335 -0.11146
   0.93347  0.01610 -0.11530
   0.92124  0.01884 -0.11921
   0.90893  0.02156 -0.12320
   0.89655  0.02425 -0.12725
   0.88411  0.02692 -0.13137
   0.87163  0.02955 -0.13555
   0.85912  0.03216 -0.13978
   0.84658  0.03472 -0.14406
   0.83402  0.03725 -0.14836
   0.82144  0.03974 -0.15268
   0.80885  0.04219 -0.15697
   0.79624  0.04460 -0.16117
   0.78363  0.04696 -0.16519
   0.77101  0.04927 -0.16889
   0.75838  0.05155 -0.17213
   0.74574  0.05377 -0.17540
   0.73311  0.05595 -0.18216
   0.72047  0.05808 -0.19248
   0.70783  0.06017 -0.20533
   0.69519  0.06220 -0.22077
   0.68256  0.06419 -0.23876
   0.66993  0.06612 -0.25922
   0.65731  0.06800 -0.28211
   0.64470  0.06982 -0.30722
   0.63210  0.07158 -0.33442
   0.61950  0.07327 -0.36334
   0.60691  0.07490 -0.39389
   0.59433  0.07646 -0.42569
   0.58176  0.07794 -0.45835
   0.56918  0.07936 -0.49186
   0.55661  0.08070 -0.52594
   0.54405  0.08198 -0.56038
   0.53148  0.08318 -0.59533
   0.51893  0.08431 -0.63049
   0.50637  0.08537 -0.66598
   0.49383  0.08635 -0.70197
   0.48130  0.08727 -0.73833
   0.46878  0.08810 -0.77502
   0.45628  0.08886 -0.81187
   0.44380  0.08953 -0.84887
   0.43133  0.09011 -0.88581
   0.41888  0.09061 -0.92282
   0.40645  0.09100 -0.95922
   0.39404  0.09130 -0.99496
   0.38163  0.09150 -1.02982
   0.36924  0.09161 -1.06414
   0.35687  0.09162 -1.09887
   0.34451  0.09155 -1.13416
   0.33219  0.09141 -1.17078
   0.31991  0.09118 -1.20970
   0.30769  0.09089 -1.25151
   0.29556  0.09055 -1.29822
   0.28354  0.09014 -1.35112
   0.27165  0.08965 -1.40877
   0.25993  0.08908 -1.47006
   0.24840  0.08840 -1.53381
   0.23706  0.08761 -1.59856
   0.22593  0.08670 -1.66375
   0.21504  0.08565 -1.72743
   0.20440  0.08446 -1.78846
   0.19402  0.08314 -1.84468
   0.18392  0.08168 -1.89492
   0.17411  0.08011 -1.94240
   0.16463  0.07844 -1.98771
   0.15547  0.07669 -2.03290
   0.14668  0.07489 -2.07926
   0.13826  0.07304 -2.12787
   0.13022  0.07117 -2.17759
   0.12257  0.06928 -2.22792
   0.11532  0.06738 -2.27797
   0.10844  0.06548 -2.32706
   0.10194  0.06358 -2.37489
   0.09581  0.06170 -2.42078
   0.09001  0.05984 -2.46652
   0.08454  0.05801 -2.51439
   0.07938  0.05621 -2.56674
   0.07451  0.05445 -2.62629
   0.06990  0.05273 -2.68759
   0.06556  0.05104 -2.74987
   0.06146  0.04937 -2.81124
   0.05759  0.04773 -2.87350
   0.05393  0.04610 -2.93526
   0.05047  0.04450 -3.00061
   0.04720  0.04291 -3.07611
   0.04411  0.04134 -3.17582
   0.04117  0.03977 -3.30799
   0.03839  0.03822 -3.47236
   0.03576  0.03668 -3.63352
   0.03326  0.03515 -3.68726
   0.03089  0.03362 -3.74083
   0.02864  0.03209 -3.79394
   0.02652  0.03057 -3.84603
   0.02450  0.02905 -3.89671
   0.02259  0.02754 -3.94581
   0.02077  0.02603 -3.99332
   0.01905  0.02454 -4.03926
   0.01741  0.02306 -4.08354
   0.01584  0.02160 -4.12625
   0.01435  0.02017 -4.16763
   0.01291  0.01876 -4.20818
   0.01152  0.01738 -4.24864
   0.01018  0.01603 -4.29045
   0.00890  0.01470 -4.33625
   0.00768  0.01338 -4.38903
   0.00652  0.01208 -4.45299
   0.00542  0.01077 -4.53447
   0.00440  0.00947 -4.64083
   0.00346  0.00816 -4.77903
   0.00260  0.00683 -4.95483
   0.00184  0.00550 -5.17017
   0.00118  0.00414 -5.40373
   0.00064  0.00277 -5.60807
   0.00025  0.00139 -5.69571
   0.00011  0.00070 -5.68637
   0.00000  0.00000 -5.68202
  -0.00005 -0.00139 -5.20241
   0.00005 -0.00274 -4.68451
   0.00032 -0.00408 -3.96872
   0.00077 -0.00541 -3.11893
   0.00138 -0.00672 -2.33734
   0.00211 -0.00799 -1.69627
   0.00296 -0.00922 -1.15805
   0.00392 -0.01041 -0.71647
   0.00497 -0.01157 -0.35908
   0.00611 -0.01268 -0.06578
   0.00735 -0.01376  0.17288
   0.00867 -0.01480  0.36262
   0.01007 -0.01579  0.51711
   0.01156 -0.01672  0.64457
   0.01314 -0.01759  0.74893
   0.01482 -0.01838  0.83279
   0.01659 -0.01911  0.89360
   0.01844 -0.01978  0.93822
   0.02038 -0.02038  0.96710
   0.02240 -0.02094  0.98554
   0.02450 -0.02145  0.99575
   0.02668 -0.02193  0.99966
   0.02895 -0.02240  0.99941
   0.03131 -0.02287  0.99590
   0.03375 -0.02335  0.99024
   0.03628 -0.02384  0.98215
   0.03892 -0.02433  0.97198
   0.04167 -0.02481  0.96040
   0.04454 -0.02527  0.94744
   0.04754 -0.02571  0.93335
   0.05067 -0.02613  0.91852
   0.05396 -0.02652  0.90327
   0.05741 -0.02688  0.88772
   0.06103 -0.02722  0.87235
   0.06483 -0.02753  0.85691
   0.06884 -0.02781  0.84182
   0.07306 -0.02808  0.82677
   0.07752 -0.02833  0.81194
   0.08223 -0.02858  0.79674
   0.08721 -0.02882  0.78061
   0.09248 -0.02907  0.76397
   0.09805 -0.02930  0.74681
   0.10395 -0.02952  0.72949
   0.11019 -0.02972  0.71228
   0.11681 -0.02989  0.69515
   0.12382 -0.03004  0.67816
   0.13122 -0.03015  0.66113
   0.13904 -0.03023  0.64460
   0.14727 -0.03027  0.62818
   0.15592 -0.03027  0.61221
   0.16498 -0.03022  0.59682
   0.17443 -0.03013  0.58190
   0.18427 -0.02998  0.56760
   0.19446 -0.02979  0.55403
   0.20499 -0.02955  0.54109
   0.21581 -0.02926  0.52869
   0.22690 -0.02894  0.51714
   0.23823 -0.02858  0.50617
   0.24977 -0.02818  0.49564
   0.26149 -0.02776  0.48585
   0.27337 -0.02732  0.47660
   0.28538 -0.02687  0.46741
   0.29749 -0.02640  0.45877
   0.30969 -0.02594  0.44984
   0.32197 -0.02548  0.44096
   0.33430 -0.02503  0.43208
   0.34668 -0.02457  0.42310
   0.35910 -0.02412  0.41441
   0.37156 -0.02367  0.40573
   0.38403 -0.02321  0.39724
   0.39653 -0.02276  0.38886
   0.40904 -0.02230  0.38082
   0.42156 -0.02185  0.37286
   0.43410 -0.02139  0.36525
   0.44664 -0.02093  0.35758
   0.45919 -0.02047  0.35029
   0.47174 -0.02000  0.34307
   0.48430 -0.01954  0.33586
   0.49686 -0.01908  0.32890
   0.50942 -0.01862  0.32180
   0.52199 -0.01815  0.31495
   0.53455 -0.01769  0.30816
   0.54712 -0.01723  0.30127
   0.55969 -0.01677  0.29453
   0.57226 -0.01631  0.28785
   0.58483 -0.01585  0.28114
   0.59741 -0.01538  0.27456
   0.60998 -0.01492  0.26791
   0.62255 -0.01446  0.26136
   0.63512 -0.01400  0.25488
   0.64769 -0.01354  0.24812
   0.66026 -0.01308  0.24168
   0.67283 -0.01261  0.23484
   0.68540 -0.01215  0.22837
   0.69797 -0.01169  0.22154
   0.71054 -0.01123  0.21486
   0.72311 -0.01077  0.20811
   0.73567 -0.01031  0.20120
   0.74823 -0.00985  0.19417
   0.76079 -0.00938  0.18717
   0.77334 -0.00892  0.17962
   0.78589 -0.00846  0.17238
   0.79843 -0.00800  0.16486
   0.81096 -0.00754  0.15711
   0.82348 -0.00708  0.14901
   0.83598 -0.00662  0.14084
   0.84846 -0.00616  0.13210
   0.86092 -0.00571  0.12339
   0.87335 -0.00525  0.11358
   0.88573 -0.00480  0.10387
   0.89807 -0.00434  0.09351
   0.91034 -0.00389  0.08218
   0.92253 -0.00344  0.06992
   0.93463 -0.00300  0.05690
   0.94660 -0.00256  0.04211
   0.95843 -0.00213  0.02489
   0.97008 -0.00170  0.00630
   0.98152 -0.00128 -0.01791
   0.99270 -0.00087 -0.04730
   1.00000 -0.00060 -0.09465
