CLARK-Y 11.7% smoothed                          
 Alfa =  17.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000 -0.19618
   0.99604  0.00107 -0.19685
   0.98939  0.00282 -0.19818
   0.98190  0.00475 -0.19970
   0.97365  0.00683 -0.20139
   0.96478  0.00903 -0.20323
   0.95542  0.01129 -0.20518
   0.94570  0.01360 -0.20722
   0.93572  0.01593 -0.20933
   0.92557  0.01827 -0.21148
   0.91532  0.02060 -0.21368
   0.90499  0.02291 -0.21590
   0.89462  0.02520 -0.21815
   0.88422  0.02747 -0.22042
   0.87380  0.02972 -0.22271
   0.86336  0.03194 -0.22502
   0.85292  0.03413 -0.22735
   0.84246  0.03630 -0.22971
   0.83200  0.03844 -0.23208
   0.82155  0.04055 -0.23447
   0.81109  0.04262 -0.23689
   0.80063  0.04467 -0.23932
   0.79017  0.04668 -0.24178
   0.77972  0.04867 -0.24427
   0.76926  0.05062 -0.24678
   0.75880  0.05253 -0.24932
   0.74834  0.05442 -0.25189
   0.73788  0.05627 -0.25448
   0.72742  0.05808 -0.25710
   0.71697  0.05985 -0.25975
   0.70652  0.06159 -0.26242
   0.69608  0.06329 -0.26512
   0.68564  0.06495 -0.26785
   0.67520  0.06657 -0.27060
   0.66476  0.06815 -0.27338
   0.65433  0.06969 -0.27618
   0.64389  0.07118 -0.27899
   0.63345  0.07264 -0.28181
   0.62302  0.07405 -0.28461
   0.61258  0.07542 -0.28736
   0.60215  0.07674 -0.29002
   0.59172  0.07802 -0.29250
   0.58130  0.07925 -0.29469
   0.57088  0.08043 -0.29640
   0.56046  0.08157 -0.29743
   0.55004  0.08266 -0.29834
   0.53963  0.08369 -0.30318
   0.52922  0.08468 -0.31198
   0.51881  0.08562 -0.32354
   0.50841  0.08651 -0.33789
   0.49800  0.08735 -0.35502
   0.48761  0.08813 -0.37500
   0.47721  0.08886 -0.39761
   0.46683  0.08954 -0.42298
   0.45645  0.09016 -0.45069
   0.44607  0.09073 -0.48107
   0.43570  0.09124 -0.51336
   0.42533  0.09169 -0.54808
   0.41497  0.09209 -0.58447
   0.40460  0.09242 -0.62245
   0.39425  0.09270 -0.66189
   0.38390  0.09292 -0.70302
   0.37356  0.09308 -0.74461
   0.36322  0.09319 -0.78772
   0.35291  0.09322 -0.83254
   0.34261  0.09320 -0.87694
   0.33232  0.09311 -0.92338
   0.32205  0.09296 -0.97121
   0.31179  0.09274 -1.01756
   0.30154  0.09245 -1.06682
   0.29131  0.09210 -1.11864
   0.28110  0.09168 -1.17027
   0.27092  0.09119 -1.22504
   0.26079  0.09064 -1.28144
   0.25074  0.09001 -1.34099
   0.24075  0.08930 -1.40391
   0.23086  0.08851 -1.46868
   0.22105  0.08763 -1.53541
   0.21135  0.08666 -1.60222
   0.20176  0.08558 -1.67626
   0.19228  0.08440 -1.74361
   0.18292  0.08310 -1.81835
   0.17367  0.08168 -1.88861
   0.16452  0.08013 -1.95639
   0.15545  0.07843 -2.01849
   0.14645  0.07660 -2.08926
   0.13753  0.07463 -2.14348
   0.12869  0.07251 -2.20917
   0.11992  0.07025 -2.26271
   0.11123  0.06785 -2.32276
   0.10263  0.06531 -2.37847
   0.09416  0.06267 -2.44859
   0.08587  0.05993 -2.51866
   0.07785  0.05715 -2.61119
   0.07020  0.05435 -2.72670
   0.06299  0.05156 -2.89939
   0.05627  0.04881 -3.18918
   0.05010  0.04612 -3.73523
   0.04447  0.04350 -4.53832
   0.03939  0.04096 -4.60368
   0.03482  0.03851 -4.63657
   0.03071  0.03614 -4.66833
   0.02704  0.03386 -4.70313
   0.02376  0.03165 -4.74201
   0.02082  0.02952 -4.78747
   0.01819  0.02747 -4.84177
   0.01583  0.02549 -4.90750
   0.01372  0.02359 -4.98532
   0.01182  0.02175 -5.07735
   0.01011  0.01998 -5.18261
   0.00859  0.01828 -5.29953
   0.00723  0.01664 -5.42876
   0.00602  0.01506 -5.56799
   0.00493  0.01353 -5.71701
   0.00396  0.01204 -5.87645
   0.00310  0.01059 -6.03897
   0.00235  0.00917 -6.21498
   0.00171  0.00778 -6.34342
   0.00117  0.00644 -6.49909
   0.00073  0.00514 -6.66798
   0.00040  0.00388 -6.71799
   0.00017  0.00267 -6.76007
   0.00003  0.00149 -6.70857
   0.00000  0.00033 -6.57889
   0.00008 -0.00084 -6.19227
   0.00026 -0.00201 -5.76716
   0.00057 -0.00320 -5.18863
   0.00101 -0.00438 -4.48222
   0.00160 -0.00556 -3.78874
   0.00234 -0.00672 -2.94047
   0.00322 -0.00785 -2.20975
   0.00424 -0.00894 -1.60377
   0.00539 -0.01000 -1.03309
   0.00667 -0.01102 -0.60813
   0.00808 -0.01201 -0.25677
   0.00964 -0.01298  0.07002
   0.01135 -0.01393  0.29045
   0.01321 -0.01486  0.46092
   0.01526 -0.01578  0.62183
   0.01750 -0.01669  0.73220
   0.01995 -0.01758  0.82231
   0.02264 -0.01847  0.88748
   0.02562 -0.01934  0.93873
   0.02891 -0.02020  0.96866
   0.03256 -0.02105  0.98867
   0.03664 -0.02188  0.99923
   0.04119 -0.02268  0.99900
   0.04628 -0.02345  0.99166
   0.05197 -0.02419  0.97791
   0.05830 -0.02489  0.95928
   0.06530 -0.02553  0.93771
   0.07295 -0.02611  0.91249
   0.08123 -0.02663  0.88656
   0.09007 -0.02709  0.86037
   0.09932 -0.02749  0.83503
   0.10888 -0.02781  0.80658
   0.11868 -0.02805  0.78302
   0.12868 -0.02823  0.76071
   0.13881 -0.02835  0.73720
   0.14905 -0.02840  0.71533
   0.15937 -0.02839  0.69567
   0.16974 -0.02833  0.67676
   0.18018 -0.02821  0.66111
   0.19070 -0.02804  0.64239
   0.20129 -0.02784  0.62775
   0.21192 -0.02760  0.61415
   0.22260 -0.02733  0.59947
   0.23331 -0.02703  0.58612
   0.24407 -0.02671  0.57415
   0.25488 -0.02638  0.56177
   0.26574 -0.02602  0.55139
   0.27662 -0.02566  0.53962
   0.28752 -0.02530  0.52985
   0.29843 -0.02493  0.51824
   0.30934 -0.02456  0.50757
   0.32025 -0.02418  0.49743
   0.33117 -0.02379  0.48818
   0.34211 -0.02341  0.47945
   0.35305 -0.02303  0.46822
   0.36399 -0.02265  0.46017
   0.37494 -0.02227  0.45032
   0.38589 -0.02189  0.44129
   0.39684 -0.02150  0.43166
   0.40779 -0.02112  0.42360
   0.41874 -0.02074  0.41474
   0.42970 -0.02036  0.40578
   0.44065 -0.01997  0.39832
   0.45160 -0.01959  0.38904
   0.46255 -0.01921  0.38031
   0.47351 -0.01884  0.37269
   0.48447 -0.01846  0.36401
   0.49542 -0.01808  0.35598
   0.50638 -0.01770  0.34765
   0.51734 -0.01732  0.34017
   0.52830 -0.01694  0.33151
   0.53926 -0.01656  0.32376
   0.55021 -0.01618  0.31557
   0.56117 -0.01580  0.30766
   0.57213 -0.01542  0.29979
   0.58309 -0.01505  0.29165
   0.59404 -0.01467  0.28340
   0.60500 -0.01429  0.27542
   0.61596 -0.01391  0.26748
   0.62692 -0.01354  0.25958
   0.63788 -0.01316  0.25067
   0.64884 -0.01278  0.24285
   0.65980 -0.01240  0.23452
   0.67076 -0.01202  0.22632
   0.68172 -0.01164  0.21757
   0.69268 -0.01126  0.20939
   0.70365 -0.01088  0.20064
