CLARK Y AIRFOIL                                 
 Alfa =  12.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00060 -0.04057
   0.99252  0.00237 -0.04285
   0.98109  0.00508 -0.04628
   0.96943  0.00782 -0.04977
   0.95759  0.01058 -0.05333
   0.94559  0.01335 -0.05694
   0.93347  0.01610 -0.06059
   0.92124  0.01884 -0.06428
   0.90893  0.02156 -0.06796
   0.89655  0.02425 -0.07160
   0.88411  0.02692 -0.07514
   0.87163  0.02955 -0.07845
   0.85912  0.03216 -0.08145
   0.84658  0.03472 -0.08406
   0.83402  0.03725 -0.08716
   0.82144  0.03974 -0.09399
   0.80885  0.04219 -0.10334
   0.79624  0.04460 -0.11482
   0.78363  0.04696 -0.12844
   0.77101  0.04927 -0.14417
   0.75838  0.05155 -0.16194
   0.74574  0.05377 -0.18170
   0.73311  0.05595 -0.20329
   0.72047  0.05808 -0.22658
   0.70783  0.06017 -0.25148
   0.69519  0.06220 -0.27792
   0.68256  0.06419 -0.30562
   0.66993  0.06612 -0.33440
   0.65731  0.06800 -0.36425
   0.64470  0.06982 -0.39483
   0.63210  0.07158 -0.42609
   0.61950  0.07327 -0.45767
   0.60691  0.07490 -0.48965
   0.59433  0.07646 -0.52171
   0.58176  0.07794 -0.55358
   0.56918  0.07936 -0.58551
   0.55661  0.08070 -0.61733
   0.54405  0.08198 -0.64901
   0.53148  0.08318 -0.68091
   0.51893  0.08431 -0.71275
   0.50637  0.08537 -0.74478
   0.49383  0.08635 -0.77733
   0.48130  0.08727 -0.81026
   0.46878  0.08810 -0.84349
   0.45628  0.08886 -0.87696
   0.44380  0.08953 -0.91046
   0.43133  0.09011 -0.94399
   0.41888  0.09061 -0.97751
   0.40645  0.09100 -1.01041
   0.39404  0.09130 -1.04249
   0.38163  0.09150 -1.07352
   0.36924  0.09161 -1.10396
   0.35687  0.09162 -1.13483
   0.34451  0.09155 -1.16629
   0.33219  0.09141 -1.19914
