CLARK-Y 11.7% smoothed                          
 Alfa =   8.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.14614
   0.99604  0.00107  0.14255
   0.98939  0.00282  0.13695
   0.98190  0.00475  0.12980
   0.97365  0.00683  0.12098
   0.96478  0.00903  0.11042
   0.95542  0.01129  0.09819
   0.94570  0.01360  0.08441
   0.93572  0.01593  0.06924
   0.92557  0.01827  0.05280
   0.91532  0.02060  0.03530
   0.90499  0.02291  0.01684
   0.89462  0.02520 -0.00242
   0.88422  0.02747 -0.02214
   0.87380  0.02972 -0.04259
   0.86336  0.03194 -0.06325
   0.85292  0.03413 -0.08432
   0.84246  0.03630 -0.10560
   0.83200  0.03844 -0.12694
   0.82155  0.04055 -0.14839
   0.81109  0.04262 -0.16982
   0.80063  0.04467 -0.19136
   0.79017  0.04668 -0.21262
   0.77972  0.04867 -0.23391
   0.76926  0.05062 -0.25512
   0.75880  0.05253 -0.27613
   0.74834  0.05442 -0.29721
   0.73788  0.05627 -0.31805
   0.72742  0.05808 -0.33897
   0.71697  0.05985 -0.35934
   0.70652  0.06159 -0.38018
   0.69608  0.06329 -0.40062
   0.68564  0.06495 -0.42071
   0.67520  0.06657 -0.44103
   0.66476  0.06815 -0.46089
   0.65433  0.06969 -0.48063
   0.64389  0.07118 -0.50058
   0.63345  0.07264 -0.51990
   0.62302  0.07405 -0.53962
   0.61258  0.07542 -0.55930
   0.60215  0.07674 -0.57856
   0.59172  0.07802 -0.59767
   0.58130  0.07925 -0.61658
   0.57088  0.08043 -0.63579
   0.56046  0.08157 -0.65493
   0.55004  0.08266 -0.67274
   0.53963  0.08369 -0.69189
   0.52922  0.08468 -0.71024
   0.51881  0.08562 -0.72836
   0.50841  0.08651 -0.74638
   0.49800  0.08735 -0.76418
   0.48761  0.08813 -0.78173
   0.47721  0.08886 -0.79915
   0.46683  0.08954 -0.81593
   0.45645  0.09016 -0.83226
   0.44607  0.09073 -0.84913
   0.43570  0.09124 -0.86444
   0.42533  0.09169 -0.88001
   0.41497  0.09209 -0.89343
   0.40460  0.09242 -0.90843
   0.39425  0.09270 -0.91996
   0.38390  0.09292 -0.93564
   0.37356  0.09308 -0.95034
   0.36322  0.09319 -0.97596
   0.35291  0.09322 -1.01260
   0.34261  0.09320 -1.07592
   0.33232  0.09311 -1.17478
   0.32205  0.09296 -1.30536
   0.31179  0.09274 -1.33554
   0.30154  0.09245 -1.34866
   0.29131  0.09210 -1.36163
   0.28110  0.09168 -1.37482
   0.27092  0.09119 -1.38841
   0.26079  0.09064 -1.40280
   0.25074  0.09001 -1.41824
   0.24075  0.08930 -1.43511
   0.23086  0.08851 -1.45366
   0.22105  0.08763 -1.47390
   0.21135  0.08666 -1.49624
   0.20176  0.08558 -1.52111
   0.19228  0.08440 -1.54836
   0.18292  0.08310 -1.57776
   0.17367  0.08168 -1.60783
   0.16452  0.08013 -1.63623
   0.15545  0.07843 -1.66372
   0.14645  0.07660 -1.68716
   0.13753  0.07463 -1.70995
   0.12869  0.07251 -1.72974
   0.11992  0.07025 -1.74813
   0.11123  0.06785 -1.76692
   0.10263  0.06531 -1.78850
   0.09416  0.06267 -1.81578
   0.08587  0.05993 -1.84909
   0.07785  0.05715 -1.89203
   0.07020  0.05435 -1.94059
   0.06299  0.05156 -1.99573
   0.05627  0.04881 -2.05517
   0.05010  0.04612 -2.11830
   0.04447  0.04350 -2.18434
   0.03939  0.04096 -2.24782
   0.03482  0.03851 -2.31089
   0.03071  0.03614 -2.36612
   0.02704  0.03386 -2.40819
   0.02376  0.03165 -2.44162
   0.02082  0.02952 -2.46855
   0.01819  0.02747 -2.48182
   0.01583  0.02549 -2.48761
   0.01372  0.02359 -2.49311
   0.01182  0.02175 -2.48964
   0.01011  0.01998 -2.47373
   0.00859  0.01828 -2.46642
   0.00723  0.01664 -2.44985
   0.00602  0.01506 -2.42498
   0.00493  0.01353 -2.41185
   0.00396  0.01204 -2.38259
   0.00310  0.01059 -2.35231
   0.00235  0.00917 -2.30901
   0.00171  0.00778 -2.26044
   0.00117  0.00644 -2.21825
   0.00073  0.00514 -2.12656
   0.00040  0.00388 -2.04612
   0.00017  0.00267 -1.87796
   0.00003  0.00149 -1.71685
   0.00000  0.00033 -1.51212
   0.00008 -0.00084 -1.20841
   0.00026 -0.00201 -0.96572
   0.00057 -0.00320 -0.64066
   0.00101 -0.00438 -0.31694
   0.00160 -0.00556  0.00718
   0.00234 -0.00672  0.27822
   0.00322 -0.00785  0.51389
   0.00424 -0.00894  0.68808
   0.00539 -0.01000  0.81070
   0.00667 -0.01102  0.89719
   0.00808 -0.01201  0.94845
   0.00964 -0.01298  0.98619
   0.01135 -0.01393  0.99876
   0.01321 -0.01486  0.99897
   0.01526 -0.01578  0.98711
   0.01750 -0.01669  0.97143
   0.01995 -0.01758  0.94538
   0.02264 -0.01847  0.91777
   0.02562 -0.01934  0.88534
   0.02891 -0.02020  0.85243
   0.03256 -0.02105  0.82000
   0.03664 -0.02188  0.78263
   0.04119 -0.02268  0.74826
   0.04628 -0.02345  0.71248
   0.05197 -0.02419  0.68062
   0.05830 -0.02489  0.64708
   0.06530 -0.02553  0.61806
   0.07295 -0.02611  0.58796
   0.08123 -0.02663  0.56251
   0.09007 -0.02709  0.53822
   0.09932 -0.02749  0.51355
   0.10888 -0.02781  0.49189
   0.11868 -0.02805  0.47272
   0.12868 -0.02823  0.45436
   0.13881 -0.02835  0.43905
   0.14905 -0.02840  0.42344
   0.15937 -0.02839  0.41085
   0.16974 -0.02833  0.39872
   0.18018 -0.02821  0.38865
   0.19070 -0.02804  0.37944
   0.20129 -0.02784  0.37095
   0.21192 -0.02760  0.36394
   0.22260 -0.02733  0.35675
   0.23331 -0.02703  0.35099
   0.24407 -0.02671  0.34487
   0.25488 -0.02638  0.33973
   0.26574 -0.02602  0.33484
   0.27662 -0.02566  0.32929
   0.28752 -0.02530  0.32532
   0.29843 -0.02493  0.31996
   0.30934 -0.02456  0.31497
   0.32025 -0.02418  0.31085
   0.33117 -0.02379  0.30642
   0.34211 -0.02341  0.30265
   0.35305 -0.02303  0.29770
   0.36399 -0.02265  0.29362
   0.37494 -0.02227  0.28951
   0.38589 -0.02189  0.28520
   0.39684 -0.02150  0.28110
   0.40779 -0.02112  0.27703
   0.41874 -0.02074  0.27376
   0.42970 -0.02036  0.26917
   0.44065 -0.01997  0.26594
   0.45160 -0.01959  0.26201
   0.46255 -0.01921  0.25852
   0.47351 -0.01884  0.25500
   0.48447 -0.01846  0.25100
   0.49542 -0.01808  0.24784
