CLARK Y AIRFOIL                                 
 Alfa =  15.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00060 -0.19972
   0.99252  0.00237 -0.20196
   0.98109  0.00508 -0.20539
   0.96943  0.00782 -0.20891
   0.95759  0.01058 -0.21253
   0.94559  0.01335 -0.21624
   0.93347  0.01610 -0.22004
   0.92124  0.01884 -0.22393
   0.90893  0.02156 -0.22790
   0.89655  0.02425 -0.23196
   0.88411  0.02692 -0.23610
   0.87163  0.02955 -0.24032
   0.85912  0.03216 -0.24463
   0.84658  0.03472 -0.24902
   0.83402  0.03725 -0.25349
   0.82144  0.03974 -0.25806
   0.80885  0.04219 -0.26272
   0.79624  0.04460 -0.26747
   0.78363  0.04696 -0.27232
   0.77101  0.04927 -0.27727
   0.75838  0.05155 -0.28232
   0.74574  0.05377 -0.28747
   0.73311  0.05595 -0.29273
   0.72047  0.05808 -0.29809
   0.70783  0.06017 -0.30357
   0.69519  0.06220 -0.30915
   0.68256  0.06419 -0.31484
   0.66993  0.06612 -0.32064
   0.65731  0.06800 -0.32656
   0.64470  0.06982 -0.33258
   0.63210  0.07158 -0.33871
   0.61950  0.07327 -0.34494
   0.60691  0.07490 -0.35124
   0.59433  0.07646 -0.35756
   0.58176  0.07794 -0.36381
   0.56918  0.07936 -0.36983
   0.55661  0.08070 -0.37536
   0.54405  0.08198 -0.38038
   0.53148  0.08318 -0.38808
   0.51893  0.08431 -0.40234
   0.50637  0.08537 -0.42070
   0.49383  0.08635 -0.44320
   0.48130  0.08727 -0.46973
   0.46878  0.08810 -0.50013
   0.45628  0.08886 -0.53405
   0.44380  0.08953 -0.57114
   0.43133  0.09011 -0.61094
   0.41888  0.09061 -0.65298
   0.40645  0.09100 -0.69651
   0.39404  0.09130 -0.74114
   0.38163  0.09150 -0.78613
   0.36924  0.09161 -0.83143
   0.35687  0.09162 -0.87715
   0.34451  0.09155 -0.92352
   0.33219  0.09141 -0.97072
   0.31991  0.09118 -1.01957
   0.30769  0.09089 -1.07053
   0.29556  0.09055 -1.12541
   0.28354  0.09014 -1.18495
   0.27165  0.08965 -1.24884
   0.25993  0.08908 -1.31607
