CLARK-Y 11.7% smoothed                          
 Alfa =   9.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.11357
   0.99604  0.00107  0.11470
   0.98939  0.00282  0.11390
   0.98190  0.00475  0.11071
   0.97365  0.00683  0.10603
   0.96478  0.00903  0.09984
   0.95542  0.01129  0.09209
   0.94570  0.01360  0.08277
   0.93572  0.01593  0.07193
   0.92557  0.01827  0.05961
   0.91532  0.02060  0.04593
   0.90499  0.02291  0.03095
   0.89462  0.02520  0.01478
   0.88422  0.02747 -0.00235
   0.87380  0.02972 -0.02057
   0.86336  0.03194 -0.03951
   0.85292  0.03413 -0.05925
   0.84246  0.03630 -0.07959
   0.83200  0.03844 -0.10040
   0.82155  0.04055 -0.12163
   0.81109  0.04262 -0.14316
   0.80063  0.04467 -0.16498
   0.79017  0.04668 -0.18683
   0.77972  0.04867 -0.20885
   0.76926  0.05062 -0.23096
   0.75880  0.05253 -0.25299
   0.74834  0.05442 -0.27521
   0.73788  0.05627 -0.29723
   0.72742  0.05808 -0.31937
   0.71697  0.05985 -0.34112
   0.70652  0.06159 -0.36312
   0.69608  0.06329 -0.38496
   0.68564  0.06495 -0.40662
   0.67520  0.06657 -0.42819
   0.66476  0.06815 -0.44942
   0.65433  0.06969 -0.47084
   0.64389  0.07118 -0.49200
   0.63345  0.07264 -0.51333
   0.62302  0.07405 -0.53420
   0.61258  0.07542 -0.55544
   0.60215  0.07674 -0.57607
   0.59172  0.07802 -0.59714
   0.58130  0.07925 -0.61771
   0.57088  0.08043 -0.63836
   0.56046  0.08157 -0.65920
   0.55004  0.08266 -0.67895
   0.53963  0.08369 -0.70000
   0.52922  0.08468 -0.72001
   0.51881  0.08562 -0.74080
   0.50841  0.08651 -0.76038
   0.49800  0.08735 -0.78051
   0.48761  0.08813 -0.80044
   0.47721  0.08886 -0.82037
   0.46683  0.08954 -0.84015
   0.45645  0.09016 -0.85996
   0.44607  0.09073 -0.87993
   0.43570  0.09124 -0.89883
   0.42533  0.09169 -0.91889
   0.41497  0.09209 -0.93660
   0.40460  0.09242 -0.95767
   0.39425  0.09270 -0.97431
   0.38390  0.09292 -0.99379
   0.37356  0.09308 -1.00970
   0.36322  0.09319 -1.02998
   0.35291  0.09322 -1.04792
   0.34261  0.09320 -1.06685
   0.33232  0.09311 -1.08779
   0.32205  0.09296 -1.11287
   0.31179  0.09274 -1.14731
   0.30154  0.09245 -1.20121
   0.29131  0.09210 -1.28423
   0.28110  0.09168 -1.39882
   0.27092  0.09119 -1.49877
   0.26079  0.09064 -1.51512
   0.25074  0.09001 -1.53174
   0.24075  0.08930 -1.54903
   0.23086  0.08851 -1.56734
   0.22105  0.08763 -1.58690
   0.21135  0.08666 -1.60797
   0.20176  0.08558 -1.63098
   0.19228  0.08440 -1.65605
   0.18292  0.08310 -1.68356
   0.17367  0.08168 -1.71241
   0.16452  0.08013 -1.74127
   0.15545  0.07843 -1.77076
   0.14645  0.07660 -1.79743
   0.13753  0.07463 -1.82496
   0.12869  0.07251 -1.85020
   0.11992  0.07025 -1.87674
   0.11123  0.06785 -1.90516
   0.10263  0.06531 -1.93801
   0.09416  0.06267 -1.97635
   0.08587  0.05993 -2.02199
   0.07785  0.05715 -2.07390
   0.07020  0.05435 -2.13140
   0.06299  0.05156 -2.19383
   0.05627  0.04881 -2.26083
   0.05010  0.04612 -2.33253
   0.04447  0.04350 -2.40782
   0.03939  0.04096 -2.48230
   0.03482  0.03851 -2.55865
   0.03071  0.03614 -2.63147
   0.02704  0.03386 -2.68704
   0.02376  0.03165 -2.73854
   0.02082  0.02952 -2.78384
   0.01819  0.02747 -2.80876
   0.01583  0.02549 -2.84171
   0.01372  0.02359 -2.85796
   0.01182  0.02175 -2.86799
   0.01011  0.01998 -2.87902
   0.00859  0.01828 -2.88129
   0.00723  0.01664 -2.88190
   0.00602  0.01506 -2.88186
   0.00493  0.01353 -2.88114
   0.00396  0.01204 -2.88523
