CLARK-Y 11.7% smoothed                          
 Alfa =   6.00000 Re =   214000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.17948
   0.99604  0.00107  0.16972
   0.98939  0.00282  0.15798
   0.98190  0.00475  0.14434
   0.97365  0.00683  0.12881
   0.96478  0.00903  0.11149
   0.95542  0.01129  0.09270
   0.94570  0.01360  0.07285
   0.93572  0.01593  0.05222
   0.92557  0.01827  0.03103
   0.91532  0.02060  0.00956
   0.90499  0.02291 -0.01206
   0.89462  0.02520 -0.03374
   0.88422  0.02747 -0.05503
   0.87380  0.02972 -0.07653
   0.86336  0.03194 -0.09751
   0.85292  0.03413 -0.11848
   0.84246  0.03630 -0.13917
   0.83200  0.03844 -0.15952
   0.82155  0.04055 -0.17967
   0.81109  0.04262 -0.19957
   0.80063  0.04467 -0.21937
   0.79017  0.04668 -0.23863
   0.77972  0.04867 -0.25780
   0.76926  0.05062 -0.27689
   0.75880  0.05253 -0.29551
   0.74834  0.05442 -0.31428
   0.73788  0.05627 -0.33264
   0.72742  0.05808 -0.35116
   0.71697  0.05985 -0.36894
   0.70652  0.06159 -0.38692
   0.69608  0.06329 -0.40496
   0.68564  0.06495 -0.42238
   0.67520  0.06657 -0.43982
   0.66476  0.06815 -0.45687
   0.65433  0.06969 -0.47375
   0.64389  0.07118 -0.49071
   0.63345  0.07264 -0.50698
   0.62302  0.07405 -0.52334
   0.61258  0.07542 -0.53960
   0.60215  0.07674 -0.55541
   0.59172  0.07802 -0.57070
   0.58130  0.07925 -0.58572
   0.57088  0.08043 -0.60126
   0.56046  0.08157 -0.61575
   0.55004  0.08266 -0.62916
   0.53963  0.08369 -0.64271
   0.52922  0.08468 -0.65580
   0.51881  0.08562 -0.66810
   0.50841  0.08651 -0.67991
   0.49800  0.08735 -0.69143
   0.48761  0.08813 -0.70408
   0.47721  0.08886 -0.71735
   0.46683  0.08954 -0.73743
   0.45645  0.09016 -0.76447
   0.44607  0.09073 -0.80584
