alpha;C_m
0.1065848649;-0.08641028119
1.12823979;-0.08641028119
2.227493696;-0.08484104744
3.084591988;-0.08348052952
4.267683989;-0.07966566818
5.241765669;-0.07600541115
6.265760262;-0.07089573872
7.499935009;-0.0677881921
8.457639015;-0.06562759687
9.816206099;-0.06085805392
10.63041048;-0.05404386897
11.60683183;-0.04533964634
12.61288897;-0.03704512513
13.66846908;-0.02922214707
