,Pressure (Pa)
Port 1,-2416.720063175141
Port 2,-1665.7162902296625
Port 3,-1341.084839573365
Port 4,-989.8248243535834
Port 5,-589.9233604032139
Port 6,-468.7534448441934
Port 7,-295.7933884793717
Port 8,-282.6070095814886
Port 9,-286.29031195969867
Port 10,-295.29142739800704
Port 11,-300.95955053023914
Port 12,-248.79333587350462
Port 13,-59.664901488154825
Port 14,114.23592777275815
Port 15,205.31466480203454
Port 16,252.74713808903385
Port 17,315.00641392903697
Port 18,434.34413584802644
Port 19,533.9390040050886
