,Pressure (Pa)
Port 1,340.8428824101944
Port 2,-542.8765287444392
Port 3,-654.3080169564595
Port 4,-644.9190853727223
Port 5,-539.2325226233913
Port 6,-645.2933059968287
Port 7,-536.6099369842088
Port 8,-473.0224947371597
Port 9,-393.9555404278817
Port 10,-232.3343145559579
Port 11,-117.75660462883681
Port 12,48.881335516921915
Port 13,52.17141412585673
Port 14,57.91410482142574
Port 15,65.9399518792722
Port 16,61.122240902040296
Port 17,56.20379693862535
Port 18,82.98294878014865
Port 19,125.667402651444
