y Position (cm),Pressure (Pa)
7.67,552.6227789496422
8.17,557.9606431559541
9.34,562.0254940551505
9.84,561.6391014302815
11.0,560.2048989691774
11.5,561.0589476083169
12.67,560.2961862659139
13.17,560.5019366397606
13.67,561.0487652484045
14.17,529.8482670529744
14.67,514.4286713958275
15.17,496.25955610768426
15.67,505.11260292275966
16.17,551.0073703753187
16.67,555.8218122329812
17.17,559.5941383833812
17.67,559.3288269588813
18.17,558.2125022568129
18.67,558.6452299757875
19.17,558.1935533531022
19.67,557.8026107688778
20.17,558.6596577324987
20.67,558.878380944338
21.17,560.0392503882083
21.67,559.1193065591095
22.17,559.0371562244653
22.67,559.5619882100062
23.17,559.542395196445
24.340000000000003,803.2395925173896
24.840000000000003,803.3965218759444
26.0,565.1802027726554
26.5,565.8024730484817
27.67,562.0367814914099
28.17,553.0121719500254
