y Position (cm),Pressure (Pa)
8.67,560.7664804761719
9.17,560.5396986312157
10.34,560.0177435459973
10.84,560.9970261765412
12.0,560.5612980761754
12.5,553.4317066418763
13.67,528.4236233867363
14.17,474.9606712213638
14.67,477.8559479557902
15.17,494.6582686011375
15.67,493.48147941403954
16.17,543.3596946806055
16.67,541.4532882869785
17.17,559.384050010458
17.67,559.2595547990204
18.17,558.3539440630627
18.67,558.357279877909
19.17,558.9892386248258
19.67,558.6174733694379
20.17,559.2187183437418
20.67,559.6412472377118
21.17,559.9537930480033
21.67,560.6755656547697
22.17,562.3424437140899
22.67,560.8659128399039
23.17,560.103974645501
23.67,562.2940013576156
24.17,563.2642396272141
25.340000000000003,803.7629695577696
25.840000000000003,803.2307868715344
27.0,564.9892258798055
27.5,552.495482966096
28.67,547.1757280442371
29.17,543.7351641131489
