y Position (cm),Pressure Uncertainty (Pa)
8.67,0.5946243178177527
9.17,0.585896771495422
10.34,0.5841646164963719
10.84,0.777441908733721
12.0,1.1287792881004077
12.5,1.9734879696729781
13.67,2.4261861919844834
14.17,3.2715302672724333
14.67,2.9925314510949916
15.17,3.799718525349437
15.67,3.483817023006071
16.17,3.55767622305702
16.67,3.792371220841231
17.17,4.0981407735252455
17.67,4.239713658367313
18.17,3.5710558555579035
18.67,4.06270010662263
19.17,3.4646156400342782
19.67,3.927239761388239
20.17,3.754687058673663
20.67,3.9352338366446786
21.17,4.284118955419454
21.67,4.203264325809393
22.17,4.706482219404194
22.67,4.35213975825995
23.17,5.382602820225909
23.67,4.780959865697221
24.17,4.831814715426362
25.340000000000003,0.1633245192838449
25.840000000000003,0.07532343852052978
27.0,2.149731647482358
27.5,1.4085331006054311
28.67,0.9753324689617285
29.17,1.345792387896377
