y Position (cm),Pressure (Pa)
8.67,557.2925645972834
9.17,561.0168085161915
10.34,563.4241878931374
10.84,562.2851792436668
12.0,558.7935347731604
12.5,549.1901172070608
13.67,540.9494917917792
14.17,522.8087793938355
14.67,523.9756043502779
15.17,493.0746559712532
15.67,497.4641695707178
16.17,466.09752397919
16.67,466.23423883041124
17.17,438.2049709970912
17.67,440.7889510787287
18.17,416.11752055154597
18.67,413.92505919822264
19.17,399.35345106418384
19.67,400.476004965693
20.17,404.5613011385131
20.67,398.7977405515022
21.17,414.0318771340926
21.67,446.4062787689705
22.17,477.09246166356604
22.67,415.75341448801703
23.17,439.13863240857137
23.67,471.50878223975377
24.17,502.8987928796967
25.340000000000003,802.1153553633239
25.840000000000003,803.0109771257148
27.0,557.4313557710176
27.5,563.2954719381592
28.67,558.3107698316053
29.17,550.9261007772292
