,Pressure (Pa)
Port 1,-2540.391458682007
Port 2,-1902.6057312243724
Port 3,-1695.9955587361692
Port 4,-1360.1013227036724
Port 5,-1011.1272926621334
Port 6,-1009.3708062319183
Port 7,-682.321893729336
Port 8,-459.97072561318544
Port 9,-222.61172503367087
Port 10,-185.49062789685217
Port 11,-181.01184394378285
Port 12,-150.93594280927678
Port 13,-11.182066827284611
Port 14,114.29666372563842
Port 15,211.4613507099196
Port 16,251.56469579842772
Port 17,308.2772758646278
Port 18,424.29848272856736
Port 19,526.2332632998496
