,Pressure (Pa)
Port 1,-118.08918191670087
Port 2,-890.7856597367891
Port 3,-922.2238732632864
Port 4,-848.9436296796142
Port 5,-685.152543242911
Port 6,-772.2527427464203
Port 7,-647.4073784260736
Port 8,-552.6879514355285
Port 9,-394.17836920735556
Port 10,-260.8423349354235
Port 11,-122.45120793878486
Port 12,41.9378975612822
Port 13,60.88204167578989
Port 14,88.76972522086959
Port 15,112.50892855499121
Port 16,121.5841061569874
Port 17,136.67671067696443
Port 18,199.8034958203914
Port 19,283.48081347536737
