y Position (cm),Pressure (Pa)
7.67,547.4064342644737
8.17,557.5692396090501
9.34,560.7676884493717
9.84,561.487014241324
11.0,559.2640738912528
11.5,560.4352121284139
12.67,559.4557154792124
13.17,556.976355774887
13.67,560.7168815933885
14.17,509.5704996324725
14.67,521.3321828112785
15.17,496.5889682565303
15.67,486.3938087833345
16.17,547.6440796291372
16.67,539.0538955079401
17.17,558.9213802247501
17.67,559.0271467240143
18.17,558.8226187284486
18.67,558.3536930040219
19.17,558.520343768438
19.67,556.6474128245646
20.17,559.4920637112001
20.67,558.4506271086163
21.17,559.4468851421443
21.67,559.3258348088873
22.17,559.4241641535627
22.67,559.3828338074961
23.17,560.3123899663074
24.340000000000003,802.9875523426092
24.840000000000003,803.5620613783022
26.0,564.4900576380322
26.5,565.6991204348845
27.67,563.9770275542205
28.17,550.702523065898
