,Pressure (Pa)
Port 1,-1288.6384260698348
Port 2,-1479.7693444858132
Port 3,-1351.5193605403317
Port 4,-1177.4581589528727
Port 5,-919.9248998607394
Port 6,-999.1857868642518
Port 7,-721.054157201654
Port 8,-610.5750724590324
Port 9,-446.18287071195243
Port 10,-275.11474477468414
Port 11,-115.35348203708776
Port 12,21.4694277597983
Port 13,69.0469187139774
Port 14,128.4694067549998
Port 15,173.26771018356638
Port 16,196.67912579686632
Port 17,233.96238064827958
Port 18,329.48201048189605
Port 19,439.2845054279106
