y Position (cm),Pressure (Pa)
8.67,559.2961499758921
9.17,559.6950215477327
10.34,561.5211626054571
10.84,560.1675691303604
12.0,559.838206373512
12.5,556.1623821699185
13.67,544.2858121242665
14.17,526.1370658461533
14.67,522.5959356391692
15.17,496.1138791027581
15.67,487.54232680818063
16.17,461.68489444406856
16.67,458.64423504189125
17.17,443.3856634914234
17.67,440.60803743556545
18.17,442.1351570649403
18.67,445.4039112433102
19.17,467.4336976527673
19.67,473.13298853227525
20.17,499.62803869539715
20.67,514.476566150975
21.17,534.0492339073589
21.67,555.7326692297315
22.17,559.9612157972481
22.67,543.3624727594074
23.17,554.4307283838998
23.67,559.7610031637442
24.17,562.141895645329
25.340000000000003,803.1542586645753
25.840000000000003,802.0293177132872
27.0,564.7039427873642
27.5,556.3224991859267
28.67,548.1323740598049
29.17,545.6985221762902
