,Pressure (Pa)
Port 1,-873.2776503625139
Port 2,-1306.1231452825866
Port 3,-1232.29287018746
Port 4,-1076.5652085125184
Port 5,-847.1152393680234
Port 6,-921.1814043900358
Port 7,-763.1696370538175
Port 8,-578.2709612021167
Port 9,-437.37245530661795
Port 10,-274.3526416006457
Port 11,-119.01540055815595
Port 12,31.67029424549982
Port 13,68.2801998871589
Port 14,116.83247369922837
Port 15,154.35696879542982
Port 16,174.8304045422112
Port 17,206.718061126316
Port 18,293.76134686737555
Port 19,399.00087994830045
