y Position (cm),Pressure (Pa)
7.67,546.0771401586898
8.17,558.4231277347294
9.34,560.3565560625311
9.84,561.0538934703027
11.0,560.1279694592864
11.5,560.1792743198807
12.67,558.754173833206
13.17,558.5863912382176
13.67,560.5274954361807
14.17,510.1580968017146
14.67,528.8692025460743
15.17,501.93865917823996
15.67,488.3788589399054
16.17,552.9217860074139
16.67,544.2560923285648
17.17,559.3499819049993
17.67,559.3461069272208
18.17,557.5533466470446
18.67,557.8277127180729
19.17,557.9651354964099
19.67,557.1581195687351
20.17,558.8856472975066
20.67,558.4008039173242
21.17,559.4043036090115
21.67,558.1283969418052
22.17,558.4686232162109
22.67,559.5900082304698
23.17,559.8479586388349
24.340000000000003,802.4437323845499
24.840000000000003,803.2180115945151
26.0,564.4641345982436
26.5,565.2270667414825
27.67,564.1000966605642
28.17,551.4833134472367
