y Position (cm),Pressure (Pa)
7.67,552.8708145224336
8.17,560.3613694293518
9.34,563.2045160048915
9.84,562.0621550815822
11.0,561.2117879797571
11.5,561.7484650918466
12.67,560.402037137874
13.17,562.1080168643219
13.67,562.3843111644986
14.17,551.6031866775335
14.67,549.2803776875061
15.17,493.4432441307171
15.67,496.1641715817719
16.17,547.3696250335762
16.67,549.9959746147088
17.17,560.0160375680853
17.67,560.6098433271887
18.17,558.8033631998941
18.67,559.8821769702464
19.17,558.668311087995
19.67,558.3925744774291
20.17,560.3344977076754
20.67,559.378557543537
21.17,561.1926888486402
21.67,559.6341434520976
22.17,560.7260185551365
22.67,560.8987894346858
23.17,562.1775977067705
24.340000000000003,805.3145695170148
24.840000000000003,805.6286093290564
26.0,566.3353430926779
26.5,566.8856906664134
27.67,562.5388492752721
28.17,554.9290323385903
