,Pressure (Pa)
Port 1,532.903568154
Port 2,117.8630552384612
Port 3,-100.97774403694675
Port 4,-204.84564479774923
Port 5,-205.54087732002668
Port 6,-342.4246141978638
Port 7,-317.54474731084423
Port 8,-308.0369560537704
Port 9,-262.5054993486817
Port 10,-203.8999688691269
Port 11,-127.53571694358409
Port 12,43.2740797047637
Port 13,28.457198625928275
Port 14,-14.006149677148501
Port 15,-44.87517107023517
Port 16,-100.98786054508425
Port 17,-156.98952802032136
Port 18,-251.41092834762483
Port 19,-362.75637949542346
