y Position (cm),Pressure Uncertainty (Pa)
8.67,0.5285563200518173
9.17,0.4904819104341067
10.34,0.5128762359741209
10.84,0.5906914765252241
12.0,0.5633097570272361
12.5,0.72717320375825
13.67,1.5892890634539998
14.17,2.315903543931552
14.67,2.0829055507747642
15.17,2.9075054210604683
15.67,2.938243184583093
16.17,2.537901109380646
16.67,2.323491110948426
17.17,2.1747949316743926
17.67,1.932710328651008
18.17,2.2708263222864877
18.67,3.4045916166229877
19.17,4.138179371285892
19.67,4.024560358321687
20.17,3.663477685150307
20.67,3.7303156500047017
21.17,3.0171336005285716
21.67,1.0051318152103936
22.17,0.6056979588504622
22.67,2.3564973899966137
23.17,1.1368258254433674
23.67,0.5711077317600642
24.17,0.598815247012696
25.340000000000003,0.1601885924371891
25.840000000000003,0.1349810728317504
27.0,0.5443993701973328
27.5,0.6205952249155303
28.67,0.746708074278128
29.17,0.7317696429128376
