,Pressure (Pa)
Port 1,-2520.8730110275496
Port 2,-1848.9956974376444
Port 3,-1593.2856892095028
Port 4,-1249.329267483125
Port 5,-887.6207419970507
Port 6,-864.4739773531508
Port 7,-502.5960347751344
Port 8,-320.4546491024909
Port 9,-257.08634245538633
Port 10,-268.7958233384444
Port 11,-250.6447260522625
Port 12,-210.98485432604087
Port 13,-25.640828382270012
Port 14,132.05916115069746
Port 15,212.835790678846
Port 16,254.17835068101212
Port 17,313.86011823791625
Port 18,430.25714819144093
Port 19,530.343710560652
