y Position (cm),Pressure (Pa)
8.17,560.0086930147609
8.67,559.9901598003207
9.84,561.6714594444567
10.34,560.832062866909
11.5,561.1144258378561
12.0,560.5379947085929
13.17,561.3622659111011
13.67,558.9173529608032
14.17,560.6416930461633
14.67,507.56949274806334
15.17,509.7968122659397
15.67,535.9464952323086
16.17,529.6501534516738
16.67,559.3292138360772
17.17,561.4040325250481
17.67,558.8104093561024
18.17,559.8187224197914
18.67,558.2711249175579
19.17,559.1677674378244
19.67,558.6331173243314
20.17,560.8755251704854
20.67,558.1320949314768
21.17,561.7892583334153
21.67,560.4218729861561
22.17,559.9456294609976
22.67,560.514304460958
23.17,560.9886423961848
23.67,563.3713787265482
24.840000000000003,805.4912318335033
25.340000000000003,805.933824968817
26.5,566.7864332233281
27.0,560.3702470971585
28.17,554.3557559280723
28.67,548.2141910198297
