y Position (cm),Pressure (Pa)
8.17,557.8589615379631
8.67,560.8686971431124
9.84,560.7448810308538
10.34,562.1471761646638
11.5,560.8472458636505
12.0,562.3262955881676
13.17,553.5156020588848
13.67,514.8173400285274
14.17,506.611235389415
14.67,479.3725971484661
15.17,480.41981023470436
15.67,525.2731229808347
16.17,529.1819788360324
16.67,559.1240005814187
17.17,558.147304690024
17.67,561.145870165689
18.17,558.4538517971503
18.67,561.2936625720472
19.17,558.4556339155749
19.67,561.2439155221374
20.17,559.4676079338689
20.67,562.0642006203697
21.17,560.1651243767391
21.67,563.4188785936868
22.17,557.5884786735037
22.67,561.928405620868
23.17,559.9711059438861
23.67,565.7954330729751
24.840000000000003,803.3156844692076
25.340000000000003,812.3927877818195
26.5,566.8053574341301
27.0,565.2791783008402
28.17,550.8947429183268
28.67,549.5681220006809
