Port #,Pressure (Pa)
1,-118.08918191670087
2,-890.7856597367891
3,-922.2238732632864
4,-848.9436296796142
5,-685.152543242911
6,-772.2527427464203
7,-647.4073784260736
8,-552.6879514355285
9,-394.17836920735556
10,-260.8423349354235
11,-122.45120793878486
12,41.9378975612822
13,60.88204167578989
14,88.76972522086959
15,112.50892855499121
16,121.5841061569874
17,136.67671067696443
18,199.8034958203914
19,283.48081347536737
