y Position (cm),Pressure Uncertainty (Pa)
8.17,0.49221366679111495
8.67,0.5454912294536662
9.84,0.5021020905766537
10.34,0.4635013499581757
11.5,0.486260270702307
12.0,0.47310293593092945
13.17,0.5893295029420373
13.67,1.008251086481243
14.17,0.8772766862955024
14.67,1.0062007027247886
15.17,0.8668650846919858
15.67,1.1371792818693311
16.17,1.0452778403899412
16.67,0.5676562137225283
17.17,0.47819545930423885
17.67,0.530522130267638
18.17,0.522099315336321
18.67,0.5103669239062171
19.17,0.5242029457939795
19.67,0.5372457433970447
20.17,0.5049592756834649
20.67,0.55641287380859
21.17,0.520137265013751
21.67,0.5000740112440545
22.17,0.4951772184526586
22.67,0.49258622243525696
23.17,0.5535718204273296
23.67,0.5128166983731525
24.840000000000003,0.33017398950892146
25.340000000000003,0.09371285926121778
26.5,0.5103527256520769
27.0,0.5554706372212828
28.17,0.633684919153661
28.67,0.7028808887303885
