,Pressure (Pa)
Port 1,-1658.59326684813
Port 2,-1627.783510078114
Port 3,-1459.8088797860607
Port 4,-1272.7686515809555
Port 5,-1001.098770711383
Port 6,-1034.0880337912058
Port 7,-751.4383698822031
Port 8,-627.3914993537608
Port 9,-447.1521671553253
Port 10,-265.480664156723
Port 11,-104.26280177087656
Port 12,4.086570075004389
Port 13,65.0384587282586
Port 14,134.6946893305327
Port 15,185.68973430870875
Port 16,211.79681098762777
Port 17,254.59371615380095
Port 18,357.0653115714198
Port 19,466.53151966621766
