Port #,Pressure (Pa)
1,340.8428824101944
2,-542.8765287444392
3,-654.3080169564595
4,-644.9190853727223
5,-539.2325226233913
6,-645.2933059968287
7,-536.6099369842088
8,-473.0224947371597
9,-393.9555404278817
10,-232.3343145559579
11,-117.75660462883681
12,48.881335516921915
13,52.17141412585673
14,57.91410482142574
15,65.9399518792722
16,61.122240902040296
17,56.20379693862535
18,82.98294878014865
19,125.667402651444
