y Position (cm),Pressure (Pa)
8.57,555.8673468133834
9.07,560.152219444932
10.24,563.8172233371264
10.74,562.536873717568
11.9,561.9066003717696
12.4,555.9797869816675
13.57,551.1584923917881
14.07,529.7161041311739
14.57,535.0384087983919
15.07,507.7330277579363
15.57,511.3803751554645
16.07,483.18859134233327
16.57,479.67598530408907
17.07,463.59844364606056
17.57,462.10738826606865
18.07,437.4208242956991
18.57,439.7015910031884
19.07,432.19034992513264
19.57,436.30573420861384
20.07,447.2388927302247
20.57,445.60156153764234
21.07,464.2962191119118
21.57,495.1979539118445
22.07,522.4190672213819
22.57,467.0983914298488
23.07,496.18340398356503
23.57,520.1950896797099
24.07,546.1264117044375
25.240000000000002,800.1478239746352
25.740000000000002,803.8491101054651
26.9,563.9676806421596
27.4,563.0816526790916
28.57,558.2961877458417
29.07,548.0729920335522
