Port #,Pressure (Pa)
1,-2231.643321797772
2,-1818.438057087222
3,-1670.7812280973121
4,-1405.9829622984118
5,-1017.9756783430532
6,-1058.3049080000687
7,-778.2227323195823
8,-622.0266600143179
9,-405.50036362682204
10,-209.52598734610396
11,-95.48676574196453
12,-52.260342596072164
13,48.60754767660627
14,146.64813778904684
15,207.0897091591125
16,241.4652489289125
17,291.08669254374854
18,402.32942369351485
19,509.5248313074358
