y Position (cm),Pressure Uncertainty (Pa)
7.17,0.7798700532375094
8.17,0.5282619680023629
8.84,0.47670293081961035
9.84,0.46421120033207797
10.5,0.5309869169480528
11.5,0.5300053156624406
12.17,0.5008168265203707
13.17,0.79569171515939
13.17,0.637447327371663
14.17,1.5842667172666567
14.17,1.3573921096873183
15.17,1.5516822197562954
15.17,1.780210013839551
16.17,2.0437962415556394
16.17,1.356568964644389
17.17,3.504218335590506
17.17,2.6293366277477674
18.17,2.430771977095007
18.17,3.6472347855638176
19.17,0.9691393488558605
19.17,1.8167693735002421
20.17,0.5619610033408472
20.17,0.49569525650792484
21.17,0.47504141118726306
21.17,0.5714237756116792
22.17,0.5691830037677829
22.17,0.5117659027196421
23.17,0.568193217451228
23.840000000000003,0.22935530997785064
24.840000000000003,0.06988246968960625
25.5,0.514349719752635
26.5,0.44598910996580665
27.17,0.5327620766217842
28.17,0.6981363583489545
