y Position (cm),Pressure Uncertainty (Pa)
8.57,0.7393717049329586
9.07,0.5749253568217839
10.24,0.6455777922122177
10.74,0.6808608717786472
11.9,0.639344467706692
12.4,2.510412647039624
13.57,1.5526403196114877
14.07,2.8899813828301184
14.57,2.6133448917342776
15.07,5.914599727149475
15.57,6.51056970585043
16.07,3.8337637542070437
16.57,2.961520142665263
17.07,3.869680784106049
17.57,3.7784508049742986
18.07,3.4479834942191943
18.57,4.030600047079617
19.07,4.495655261936417
19.57,3.6846990734656093
20.07,5.777217769207606
20.57,7.499370795632869
21.07,6.0121412389579225
21.57,6.154575966153532
22.07,5.497899695531724
22.57,7.106158509500359
23.07,6.401692537198516
23.57,5.035178156406592
24.07,3.051120080992871
25.240000000000002,2.063013380492619
25.740000000000002,0.114413538840221
26.9,1.4323668939020007
27.4,0.7633099097210296
28.57,1.042880780471424
29.07,1.3111826579538215
