,Pressure (Pa)
Port 1,-1982.958656244016
Port 2,-1731.4253510619967
Port 3,-1580.0408128486974
Port 4,-1371.230199173645
Port 5,-1008.6543891442005
Port 6,-1041.8747603794563
Port 7,-775.4321019024161
Port 8,-629.0496514512912
Port 9,-430.5679993533253
Port 10,-238.71863139534807
Port 11,-93.52886861267241
Port 12,-28.78350575105996
Port 13,53.85043614730499
Port 14,141.7029314146904
Port 15,195.975884223282
Port 16,226.98026365617875
Port 17,274.59247317688005
Port 18,381.6111260308717
Port 19,491.33271100662034
