y Position (cm),Pressure Uncertainty (Pa)
7.67,0.6760967950948892
8.17,0.5416875919096993
9.34,0.5308362107247803
9.84,0.5268073288434818
11.0,0.5469526576374194
11.5,0.5159492648304265
12.67,0.5321363352225476
13.17,0.5855494251115375
13.67,0.4845538633809918
14.17,0.7203443438160441
14.67,0.8739952726266031
15.17,0.840199848978143
15.67,0.6829393510691713
16.17,0.5904176521053295
16.67,0.7717360835701446
17.17,0.5141789502397778
17.67,0.5529685282446888
18.17,0.49434917933748473
18.67,0.5300967882844315
19.17,0.5081931923710097
19.67,0.5444437872430853
20.17,0.5362483183676879
20.67,0.46858683684299524
21.17,0.5164073727569053
21.67,0.46764733256917457
22.17,0.600956006220902
22.67,0.5244772829782842
23.17,0.5426102574362679
24.340000000000003,0.2539372859567951
24.840000000000003,0.0813733072561757
26.0,0.48458858096723545
26.5,0.5376241801218309
27.67,0.5223274671872028
28.17,0.6630527280819424
