y Position (cm),Pressure (Pa)
7.17,540.5427180796028
8.17,556.3575344943107
8.84,560.5251885589142
9.84,561.3705262137223
10.5,561.8461009333088
11.5,561.0689200632703
12.17,560.8593276425127
13.17,553.211637574707
13.17,558.1018688827112
14.17,525.6244844020965
14.17,535.2408398667085
15.17,476.8229094881479
15.17,490.41843859771035
16.17,468.55674770825414
16.17,464.94305267173087
17.17,506.7590709392071
17.17,490.7167706539815
18.17,541.5136024931686
18.17,525.507294601946
19.17,556.1106842505728
19.17,551.9492511292661
20.17,557.6184413161964
20.17,558.6529614095087
21.17,558.4021621091139
21.17,558.0407788312748
22.17,558.9375345365746
22.17,558.8473831847866
23.17,560.654639131042
23.840000000000003,804.1070810798078
24.840000000000003,802.77862050892
25.5,564.7303123864073
26.5,565.4495126492396
27.17,566.2551868378767
28.17,553.1932422410048
