y Position (cm),Pressure Uncertainty (Pa)
8.67,0.567045949259524
9.17,0.5827130361349817
10.34,0.584292301491266
10.84,0.579334860785147
12.0,0.6110263905862656
12.5,0.499981719148931
13.67,0.6245270358607469
14.17,0.5254052540795825
14.67,0.5317669557450517
15.17,0.6132071261760637
15.67,0.626798936453696
16.17,0.6649181248106988
16.67,0.6941991134406191
17.17,2.222763981083216
17.67,0.8343810936671013
18.17,0.7192226995827453
18.67,0.5789527246980307
19.17,0.578466902439035
19.67,0.5620112861526384
20.17,0.6303191594620497
20.67,0.5708690330080073
21.17,0.5716569797259332
21.67,0.618520547776232
22.17,0.5418512364377774
22.67,0.5553959364165103
23.17,0.5544357381296617
23.67,0.5948373596433357
24.17,0.6320089317740691
25.340000000000003,0.055001249551226136
25.840000000000003,0.0966861479797093
27.0,0.6378580894712632
27.5,0.6554586881567884
28.67,0.5710665478906674
29.17,0.6204549476448517
