y Position (cm),Pressure Uncertainty (Pa)
7.67,0.643534180528023
8.17,0.5000788952735273
9.34,0.49504446932869384
9.84,0.5022174589216012
11.0,0.4690110734073917
11.5,0.5975991367654733
12.67,0.5093184102839475
13.17,0.5238826706513883
13.67,0.49789248606481895
14.17,0.6059885914689075
14.67,0.6238031094764963
15.17,0.6823085820276785
15.67,0.717246909499043
16.17,0.6637748961086686
16.67,0.6835152296272686
17.17,0.5555563746765008
17.67,0.5698234243547315
18.17,0.536308582198968
18.67,0.5364046497387557
19.17,0.527249481068818
19.67,0.5026945985714395
20.17,0.5430959708496328
20.67,0.489232320690052
21.17,0.4892119632980275
21.67,0.5973639408429253
22.17,0.49894082804152134
22.67,0.541445320670567
23.17,0.4965721138536682
24.340000000000003,0.17828280935760557
24.840000000000003,0.11043697304422878
26.0,0.4908153443043444
26.5,0.5124398510359651
27.67,0.5929280157025211
28.17,0.6786234843347762
